station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LAX,2022-02-01 00:53,-118.3865,33.9382,32.00,57.00,51.10,80.60,260.00,6.00,0.00,30.00,1016.00,10.00,null,BKN,BKN,null,null,15000.00,25000.00,null,null,null,null,null,null,null,null,null,57.00,KLAX 010053Z 26006KT 10SM BKN150 BKN250 14/11 A3000 RMK AO2 SLP160 T01390106,null
LAX,2022-02-01 01:53,-118.3865,33.9382,32.00,57.00,51.10,80.60,280.00,5.00,0.00,30.00,1015.90,10.00,null,OVC,null,null,null,15000.00,null,null,null,null,null,null,null,null,null,null,57.00,KLAX 010153Z 28005KT 10SM OVC150 14/11 A3000 RMK AO2 SLP159 T01390106,null
LAX,2022-02-01 02:53,-118.3865,33.9382,32.00,57.00,51.10,80.60,260.00,5.00,0.00,30.01,1016.10,10.00,null,OVC,null,null,null,15000.00,null,null,null,null,null,null,null,null,null,null,57.00,KLAX 010253Z 26005KT 10SM OVC150 14/11 A3001 RMK AO2 SLP161 T01390106 55002,null
LAX,2022-02-01 03:53,-118.3865,33.9382,32.00,55.90,52.00,86.71,260.00,3.00,0.00,30.01,1016.00,10.00,null,BKN,OVC,null,null,15000.00,25000.00,null,null,null,null,null,null,null,null,null,55.90,KLAX 010353Z 26003KT 10SM BKN150 OVC250 13/11 A3001 RMK AO2 SLP160 T01330111,null
LAX,2022-02-01 04:53,-118.3865,33.9382,32.00,57.00,52.00,83.33,0.00,0.00,0.00,30.00,1015.70,9.00,null,BKN,null,null,null,15000.00,null,null,null,null,null,null,null,null,null,null,57.00,KLAX 010453Z 00000KT 9SM BKN150 14/11 A3000 RMK AO2 SLP157 T01390111,null
LAX,2022-02-01 05:53,-118.3865,33.9382,32.00,55.90,51.10,83.88,0.00,0.00,0.00,29.99,1015.60,8.00,null,BKN,null,null,null,15000.00,null,null,null,null,null,null,null,null,null,null,55.90,KLAX 010553Z 00000KT 8SM BKN150 13/11 A2999 RMK AO2 SLP156 T01330106 10150 20128 58005,null
LAX,2022-02-01 06:48,-118.3865,33.9382,32.00,55.40,51.80,87.65,130.00,5.00,0.00,29.98,null,9.00,null,FEW,BKN,BKN,null,800.00,15000.00,20000.00,null,null,null,null,null,null,null,null,55.40,KLAX 010648Z 13005KT 9SM FEW008 BKN150 BKN200 13/11 A2998,null
LAX,2022-02-01 06:53,-118.3865,33.9382,32.00,55.00,51.10,86.66,130.00,4.00,0.00,29.98,1014.90,9.00,null,FEW,BKN,BKN,null,800.00,15000.00,20000.00,null,null,null,null,null,null,null,null,55.00,KLAX 010653Z 13004KT 9SM FEW008 BKN150 BKN200 13/11 A2998 RMK AO2 SLP149 T01280106,null
LAX,2022-02-01 07:53,-118.3865,33.9382,32.00,55.00,51.10,86.66,0.00,0.00,0.00,29.98,1015.10,9.00,null,FEW,BKN,BKN,null,800.00,15000.00,20000.00,null,null,null,null,null,null,null,null,55.00,KLAX 010753Z 00000KT 9SM FEW008 BKN150 BKN200 13/11 A2998 RMK AO2 SLP151 T01280106 401780083,null
LAX,2022-02-01 08:53,-118.3865,33.9382,32.00,55.00,51.10,86.66,0.00,0.00,0.00,29.97,1014.80,9.00,null,FEW,SCT,BKN,null,800.00,1200.00,15000.00,null,null,null,null,null,null,null,null,55.00,KLAX 010853Z 00000KT 9SM FEW008 SCT012 BKN150 13/11 A2997 RMK AO2 SLP148 T01280106 56008,null
LAX,2022-02-01 09:53,-118.3865,33.9382,32.00,54.00,50.00,86.29,50.00,5.00,0.00,29.95,1014.00,8.00,null,FEW,SCT,BKN,null,800.00,1200.00,15000.00,null,null,null,null,null,null,null,null,54.00,KLAX 010953Z 05005KT 8SM FEW008 SCT012 BKN150 12/10 A2995 RMK AO2 SLP140 T01220100,null
LAX,2022-02-01 10:53,-118.3865,33.9382,32.00,53.10,50.00,89.18,80.00,4.00,0.00,29.93,1013.40,5.00,null,FEW,FEW,SCT,BKN,800.00,1200.00,1800.00,18000.00,BR,null,null,null,null,null,null,53.10,KLAX 011053Z 08004KT 5SM BR FEW008 FEW012 SCT018 BKN180 12/10 A2993 RMK AO2 SLP134 T01170100,null
LAX,2022-02-01 11:53,-118.3865,33.9382,32.00,54.00,51.10,89.88,0.00,0.00,0.00,29.93,1013.20,5.00,null,FEW,FEW,SCT,BKN,800.00,1200.00,1800.00,16000.00,BR,null,null,null,null,null,null,54.00,KLAX 011153Z 00000KT 5SM BR FEW008 FEW012 SCT018 BKN160 12/11 A2993 RMK AO2 SLP132 T01220106 10133 20111 56015,null
LAX,2022-02-01 12:53,-118.3865,33.9382,32.00,53.10,50.00,89.18,50.00,4.00,0.00,29.91,1012.70,5.00,null,FEW,FEW,SCT,BKN,700.00,1100.00,1800.00,16000.00,BR,null,null,null,null,null,null,53.10,KLAX 011253Z 05004KT 5SM BR FEW007 FEW011 SCT018 BKN160 12/10 A2991 RMK AO2 SLP127 T01170100,null
LAX,2022-02-01 13:40,-118.3865,33.9382,32.00,53.60,50.00,87.56,50.00,6.00,0.00,29.91,null,4.00,null,FEW,FEW,BKN,BKN,700.00,1100.00,1900.00,16000.00,BR,null,null,null,null,null,null,53.60,KLAX 011340Z 05006KT 4SM BR FEW007 FEW011 BKN019 BKN160 12/10 A2991,null
LAX,2022-02-01 13:53,-118.3865,33.9382,32.00,53.10,50.00,89.18,90.00,4.00,0.00,29.91,1012.60,4.00,null,FEW,BKN,null,null,1000.00,1900.00,null,null,BR,null,null,null,null,null,null,53.10,KLAX 011353Z 09004KT 4SM BR FEW010 BKN019 12/10 A2991 RMK AO2 SLP126 T01170100,null
LAX,2022-02-01 14:53,-118.3865,33.9382,32.00,53.10,48.90,85.59,30.00,4.00,0.00,29.92,1012.90,5.00,null,FEW,BKN,null,null,1600.00,2600.00,null,null,BR,null,null,null,null,null,null,53.10,KLAX 011453Z 03004KT 5SM BR FEW016 BKN026 12/09 A2992 RMK AO2 SLP129 T01170094 55003,null
LAX,2022-02-01 15:44,-118.3865,33.9382,32.00,54.00,48.90,82.82,40.00,5.00,0.00,29.92,null,4.00,null,SCT,null,null,null,2700.00,null,null,null,BR,null,null,null,null,null,null,54.00,KLAX 011544Z 04005KT 4SM BR SCT027 12/09 A2992 RMK AO2 T01220094,null
LAX,2022-02-01 15:53,-118.3865,33.9382,32.00,54.00,48.90,82.82,60.00,5.00,0.00,29.92,1013.10,6.00,null,FEW,SCT,BKN,BKN,1700.00,2700.00,14000.00,18000.00,BR,null,null,null,null,null,null,54.00,KLAX 011553Z 06005KT 6SM BR FEW017 SCT027 BKN140 BKN180 12/09 A2992 RMK AO2 SLP131 T01220094,null
LAX,2022-02-01 16:53,-118.3865,33.9382,32.00,57.00,48.00,71.81,60.00,7.00,0.00,29.92,1013.00,7.00,null,FEW,SCT,BKN,BKN,1500.00,2900.00,14000.00,25000.00,null,null,null,null,null,null,null,57.00,KLAX 011653Z 06007KT 7SM FEW015 SCT029 BKN140 BKN250 14/09 A2992 RMK AO2 SLP130 T01390089,null
LAX,2022-02-01 17:53,-118.3865,33.9382,32.00,57.90,48.00,69.52,90.00,8.00,0.00,29.91,1012.70,7.00,null,SCT,BKN,BKN,null,2100.00,14000.00,18000.00,null,null,null,null,null,null,null,null,57.90,KLAX 011753Z 09008KT 7SM SCT021 BKN140 BKN180 14/09 A2991 RMK AO2 SLP127 T01440089 10144 20111 58001,null
LAX,2022-02-01 18:53,-118.3865,33.9382,32.00,61.00,48.00,62.23,null,5.00,0.00,29.91,1012.60,8.00,null,SCT,SCT,BKN,null,2700.00,14000.00,18000.00,null,null,null,null,null,null,null,null,61.00,KLAX 011853Z VRB05KT 8SM SCT027 SCT140 BKN180 16/09 A2991 RMK AO2 SLP126 T01610089,null
LAX,2022-02-01 19:53,-118.3865,33.9382,32.00,61.00,46.90,59.71,null,3.00,0.00,29.88,1011.80,8.00,null,SCT,SCT,BKN,null,2700.00,3100.00,14000.00,null,null,null,null,null,null,null,null,61.00,KLAX 011953Z VRB03KT 8SM SCT027 SCT031 BKN140 16/08 A2988 RMK AO2 SLP118 T01610083,null
LAX,2022-02-01 20:53,-118.3865,33.9382,32.00,62.10,45.00,53.45,90.00,5.00,0.00,29.86,1010.90,9.00,null,FEW,SCT,BKN,null,2800.00,3200.00,14000.00,null,null,null,null,null,null,null,null,62.10,KLAX 012053Z 09005KT 9SM FEW028 SCT032 BKN140 17/07 A2986 RMK AO2 SLP109 T01670072 58018,null
LAX,2022-02-01 21:53,-118.3865,33.9382,32.00,62.10,48.90,61.91,260.00,8.00,0.00,29.84,1010.30,9.00,null,SCT,BKN,BKN,null,2900.00,3900.00,14000.00,null,null,null,null,null,null,null,null,62.10,KLAX 012153Z 26008KT 9SM SCT029 BKN039 BKN140 17/09 A2984 RMK AO2 SLP103 T01670094,null
LAX,2022-02-01 22:53,-118.3865,33.9382,32.00,62.10,48.90,61.91,250.00,9.00,0.00,29.83,1009.90,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,62.10,KLAX 012253Z 25009KT 10SM CLR 17/09 A2983 RMK AO2 SLP099 T01670094,null
LAX,2022-02-01 23:53,-118.3865,33.9382,32.00,60.10,48.00,64.26,260.00,9.00,0.00,29.82,1009.80,10.00,null,FEW,null,null,null,4100.00,null,null,null,null,null,null,null,null,null,null,60.10,KLAX 012353Z 26009KT 10SM FEW041 16/09 A2982 RMK AO2 SLP098 T01560089 10172 20144 56012,null
